Accuracy,,Conditions,,,,,
Normal condition,Extreme condition,Io Note 1 range,,,,,
,,NR operating band groups Note 2,Minimum Io,,,,Maximum Io
dB,dB,,dBm / SCSSRS,,,dBm/BWChannel,dBm/BWChannel
,,,SCSSRS = 15 kHz,SCSSRS = 30 kHz,SCSSRS = 60 kHz,,
3.5,6.5,"NR_TDD_FR1_A,",-120,-117,-114,N/A,-70
,,NR_TDD_FR1_C,-119,-116,-113,N/A,-70
,,NR_TDD_FR1_D,-118.5,-115.5,-112.5,N/A,-70
,,NR_TDD_FR1_E,-118,-115,-112,N/A,-70
5.5,8.5,Note 3,Note 3,Note 3,Note 3,-70,-50
NOTE 1:Io is assumed to have constant EPRE across the bandwidth.NOTE 2:NR operating band groups in FR1 are as defined in clause 3.5.2.NOTE 3:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding highest accuracy requirement.,,,,,,,
