"Reported Quantity Value,DIFFRSTD_i",RSTD = RSTD1  RSTD2,Unit
DIFFRSTD_000000,0  RSTD < 0. 0156,Tc
DIFFRSTD_000001,0. 0156 RSTD < 0. 0312,Tc
DIFFRSTD_000002,0. 0312  RSTD < 0.0469,Tc
,,…
DIFFRSTD_524222,8190.9688 RSTD < 8190. 9844,Tc
DIFFRSTD_524223,8190. 9844 RSTD < 8191,Tc
DIFFRSTD_524224,8191  RSTD,Tc
