"Reported Quantity Value,path_i","Measured Quantity Value,path",Unit
,,
path_00000,path < -8175,Tc
path_00001,-8175  path < -8174.9375,Tc
path_00002,-8174.9375  path < -8174.875,Tc
,,…
path_130800,-0.0625  path < 0,Tc
path_130801,0  path < 0.0625,Tc
…,…,…
path_261599,8174.875  path < 8174.9375,Tc
path_261600,8174.9375  path < 8175,Tc
path_261601,8175  path,Tc
