Reported Quantity Value,Measured Quantity Value,Unit
DIFF_RX-TX_TIME_DIFFERENCE_000,0  TUE Rx-Tx < 16,Tc
DIFF_RX-TX_TIME_DIFFERENCE_001,16  TUE Rx-Tx < 32,Tc
DIFF_RX-TX_TIME_DIFFERENCE_002,32  TUE Rx-Tx < 48,Tc
,,…
DIFF_RX-TX_TIME_DIFFERENCE_509,8144  TUE Rx-Tx < 8160,Tc
DIFF_RX-TX_TIME_DIFFERENCE_510,8160  TUE Rx-Tx < 8176,Tc
DIFF_RX-TX_TIME_DIFFERENCE_511,8176  TUE Rx-Tx,Tc
