Accuracy,Conditions,,,,,
,PRS Ês/Iot,PRS SCS,PRS bandwidth per hopNote 1,Total PRS bandwidth after all hopsNote 6,Io Note 3 range,
,,,,,Minimum Io,Maximum Io
Tc Note 4,dB,kHz,PRB,PRB,dBm/SCS,dBm/BWChannel
37,(PRS Ês/Iot)ref ≥-6dB (PRS Ês/Iot)i ≥-13dB,60,≥ 64,264,"Same value as PRP in table B.2.14-2, according to UE Power class, operating band and angle of arrival",-50
37,,120,64,264,"Same value as PRP in table B.2.14-2, according to UE Power class, operating band and angle of arrival",-50
"NOTE 1:Minimum PRS bandwidth, which is minimum of the PRS bandwidths of the reference resource and the measured neighbour resource i.NOTE 2: VoidNOTE 3:Io is assumed to have constant EPRE across the bandwidth.NOTE 4:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 5:VoidNOTE 6:Total PRS bandwidth after all hops regardless of the size of the overlapping bandwidth between hops.",,,,,,
