"Min(receive SL-PRS BW, transmit SL-PRS BW) (PRB)",,,Margin  (Tc)
SCS = 15 kHz,SCS = 30 kHz,SCS = 60 kHz,
≥ 48,≥ 24,N/A,80
≥ 96,≥ 48,≥ 24,56
