"Reported Quantity Value,","Measured Quantity Value,",Unit
RSTD_i,RSTD,
RSTD_000000,RSTD < -985024,Tc
RSTD_000001,-985024  RSTD < -985020,Tc
RSTD_000002,-985020  RSTD < -985016,Tc
,,…
RSTD_246256,-4  RSTD < 0,Tc
RSTD_246257,0  RSTD < 4,Tc
…,…,…
RSTD_492511,985016  RSTD < 985020,Tc
RSTD_492512,985020  RSTD < 985024,Tc
RSTD_492513,985024  RSTD,Tc
