"Reported Quantity Value,path_i","Measured Quantity Value,path",Unit
path_0000,path < -8172,Tc
path_0001,-8172  path < -8164,Tc
path_0002,-8164  path < -8156,Tc
,,…
path_1022,-4  path < 4,Tc
…,…,…
path_2042,8156  path < 8164,Tc
path_2043,8164  path < 8172,Tc
path_2044,8172  path,Tc
