Length,Description
12,"SRBs, UM DRBs, AM DRBs (including sidelink SRBs and sidelink DRBs), UM MRBs and AM MRBs"
18,"UM DRBs, AM DRBs (including sidelink DRBs for unicast), UM MRBs and AM MRBs"
