DRX cycle length (s),"Tmeasure_RedCap, E-UTRAN TDD (s) (DRX cycles)"
≤ 0.08,Non-DRX Requirements in clause [9.4A.3.2] apply
0.128,"For configuration 2 Note3, non-DRX requirements in clause [9.4A.3.2] apply,Otherwise: Note1 (5*CSSFinterRAT_RedCap)"
0.128 < DRX-cycle ≤ 10.24,Note1 (10*CSSFinterRAT_RedCap)
NOTE 1:The time depends on the DRX cycle length.NOTE 2:CSSFinterRAT_RedCap is as defined in clause 9.4A.3.2.NOTE 3:See Table 9.4A.3.2-2.,
