Configuration,TL1-RSRP_Measurement_Period_SSB_CCA (ms)
non-DRX,"max(TReport, ceil((M+L1)*P)*TSSB)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*(M+L1)*P)*max(TDRX,TSSB))"
DRX cycle > 320 ms,ceil((M+L1)*P)*TDRX
"Note 1:TSSB = ssb-periodicityServingCell is the periodicity of the SSB-Index configured for L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.Note 2:L1=0 if higher layer parameter timeRestrictionForChannelMeasurement is configured. Otherwise, when DRX is not configured L1 is the number of SSBs not available at the UE during TL1-RSRP_Measurement_Period_SSB_CCA, and when DRX is configured L1 is the number of DRX cycles in which at least one SSB is not available at the UE during TL1-RSRP_Measurement_Period_SSB_CCA, where L1 ≤ L1max. The UE is not required to determine the availability of SSB occasions more frequent thanOnce per Max(TReport, P * TSSB) if no DRX is used, Once per Max(TReport, Ceil(1.5 * P) * Max(TDRX, TSSB)) if DRX cycle ≤ 320ms, Once per P * TDRX if DRX cycle > 320ms.Note 3:L1max =7 for Max(TDRX,TSSB) ≤ 40ms assuming TDRX=0 for non-DRX,L1max =5 for 40ms < Max(TDRX, TSSB) ≤ 320ms, L1max =3 for TDRX > 320ms.",
