Configuration,TL1-RSRP_Measurement_Period_SSB (ms)
non-DRX,"max(TReport, ceil(M*P*N)*TSSB)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*M*P*N)*max(TDRX,TSSB))"
DRX cycle > 320 ms,ceil(1.5*M*P*N)*TDRX
"Note1:TSSB = ssb-periodicityServingCell is the periodicity of the SSB-Index configured for L1-RSRP measurement if UE not supporting On-demand SSB operation or when OD-SSB transmission is not indicated, otherwise, TSSB = EMP of the SSB index configured for L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.",
