Configuration,TL1-RSRP_Measurement_Period_CSI-RS (ms)
non-DRX,"max(TReport, ceil(P*N)*TCSI-RS_NBC)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*P*N)*max(TDRX,TCSI-RS_NBC))"
DRX cycle > 320 ms,ceil(M*P*N)*TDRX
NOTE 1:TCSI-RS_NBC is the periodicity of neighbor cell CSI-RS configured for L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2:The requirements are applicable provided that the CSI-RS resource configured for L1-RSRP measurement is transmitted with Density = 3.,
