DRX cycle length (s),"Tmeasure, E-UTRAN TDD (s) (DRX cycles)"
≤ 0.08,Non-DRX Requirements in clause 9.4.3.2 apply
0.128,"For configuration 2 Note3, non-DRX requirements in clause 9.4.3.2 apply,Otherwise: Note1 ((5 +Lcancel,meas * 0.128)*CSSFinterRAT x Ceil(Kgap_EUTRA))"
0.128 < DRX-cycle ≤ 10.24,"Note1 ((5 +Lcancel,meas * DRX-cycle)*CSSFinterRAT x Ceil(Kgap_EUTRA))"
"NOTE 1:The time depends on the DRX cycle length.NOTE 2:CSSFinterRAT is as defined in clause 9.4.3.2.NOTE 3:See Table 9.4.3.2-1.NOTE 4:Kgap_EUTRA is only applicable for a UE supporting concurrent GAPs. Otherwise Kgap_EUTRA = 1.NOTE 5:   Lcancel,meas is the number of gap occasions cancelled during Tmeasure, E-UTRAN TDD for measurement.",
