DRX cycle,TPSS/SSS_sync_intra
No DRX,"max(600 ms, 5 x Kgap x max(MGRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"max(600 ms, ceil(M2Note 1x 5 x Kgap) x max(MGRP, SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,"Ceil( 5 x Kgap ) x max(MGRP, DRX cycle) x CSSFintra"
"NOTE 1:When highSpeedMeasFlag-r16 is not configured, M2 = 1.5; When highSpeedMeasFlag-r16 is configured, M2 = 1.5 if SMTC periodicity > 40 ms, otherwise M2=1.NOTE 2:When highSpeedMeasFlag-r16 is configured, the requirements apply only to UE supporting either measurementEnhancement-r16 or intraNR-MeasurementEnhancement-r16 on measurements of the primary component carrier and do not apply to measurements of a secondary component carrier with active SCell.NOTE 3:For a UE supporting concurrent GAPs, if multiple concurrent GAPs are configured, the MGRP is the periodicity of the activated Pre-MG or the MG pattern associated to the intra-frequency layer.NOTE 4:When highSpeedMeasCA-Scell-r17 is configured, the requirements apply to UE on measurements of secondary component carrier with active SCell.",
