Configuration,TL1-RSRP_Prediction_Period_CSI-RS (ms)
non-DRX,"max(TReport, ceil(KBM*M*P*N)*TCSI-RS+Tinference)"
DRX cycle ≤ 320ms,"max(TReport, ceil(1.5*KBM*M*P*N)*max(TDRX,TCSI-RS) +Tinference)"
DRX cycle > 320ms,ceil(KBM*M*P*N)*TDRX+Tinference
"Note 1:TCSI-RS is the periodicity of CSI-RS configured for L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting. Tinference is the time required for model inference, which is defined by d' as specified according to clause 5.4 in TS 38.214 [26].Note 2:the requirements are applicable provided that the CSI-RS resource configured for L1-RSRP measurement is transmitted with Density = 3.",
