"Condition NOTE1,2,3,4",TSSB_measurement_period_inter_cca
No DRX,"max(200 ms, (8+ Lmeas) x max(MGRP, SMTC period)) x CSSFinter"
DRX cycle ≤ 320 ms,"max(200 ms, ceil((8+ Lmeas)  x 1.5) x max(MGRP, SMTC period, DRX cycle)) x CSSFinter"
DRX cycle > 320 ms,(8+ Lmeas) x DRX cycle x CSSFinter
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3:When DRX is not configured, Lmeas is the number of SMTC occasions not available at the UE during T SSB_measurement_period_inter_cca, for inter-frequency measurements with gaps, where Lmeas ≤ Lmeas,max. When DRX is configured, Lmeas is the number of DRX cycles in which at least one SMTC occasion is not available at the UE during T SSB_measurement_period_inter_cca, for inter-frequency measurements with gaps, where Lmeas ≤ Lmeas,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement gaps, the UE is not required to determine the availability of SMTC occasions more frequent than once during MGRP. FFS: The UE is not required to deNOTE 4:Lmeas,max = 12 for max(DRX cycle, SMTC period, MGRP) ≤ 40 ms, Lmeas,max = 8 for 40 ms < max(DRX cycle, SMTC period, MGRP) ≤ 320 ms, and Lmeas,max = 5 for DRX cycle > 320 ms.",
