DRX cycle,TSSB_time_index_intra
No DRX,ceil(3 x Kgap ) x measCycleSCell x CSSFintra
DRX cycle≤ 320ms,"Ceil(3 x Kgap) x max(measCycleSCell, 1.5 x DRX cycle) x CSSFintra"
DRX cycle>320ms,"Ceil(3 x Kgap )x max(measCycleSCell, DRX cycle) x CSSFintra"
NOTE 1:The requirements also apply to CC with deactivated SCell in SCG.,
