DRX cycle,TSSB_time_index_intra
No DRX,"Ceil(3 x Kp x N1Note 1,2) x measCycleSCell x CSSFintra"
DRX cycle≤ 320 ms,"Ceil(3 x Kp x N1Note 1,2) x max(measCycleSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle> 320 ms,"Ceil(3 x Kp x N1Note 1,2) x max(measCycleSCell, DRX cycle) x CSSFintra"
"NOTE 1:   For ATG UE capable of antennaArrayType-r18, N1 = 3 when network assistance information on ATG cells reference locations is provided, otherwise N1 = 4.Otherwise, N1 = 1.NOTE 2:   For ATG UE capable of antennaArrayType-r18, for the SCC measurement, N1=1 when the network indication neighSCellMeasSkipping is set to ‘enable’ to UE and inter-band carrier aggregation within FR1 is configured and UE not capable of antennaArrayType-r18 on the other serving carrier or UE support two simultaneous separate Rx beams, or when the network indication neighSCellMeasSkipping is set to ‘enable’ to UE and SMTC occasion for PCC and SCC are not overlapped in the time domain and intra-band carrier aggregation within FR1 is configured or inter-band carrier aggregation within FR1 is configured and UE support one common Rx beam. Otherwise, N1 = 3 when network assistance information on ATG cells reference locations is provided, N1 = 4 when network assistance information on ATG cells reference locations is not provided.",
