Configuration,TL1-CLI_RSSI measurement_period (ms)
No DRX,"Max(TReport, (M+L1) X TCLI-RSSI)"
DRX cycle ≤ 320ms,"Max(TReport, Ceil(1.5 X (M+L1)) X max(TCLI-RSSI, TDRX))"
DRX cycle > 320ms,(M+L1) X TDRX
"NOTE 1:TCLI-RSSI is L1-CLI-RSSI measurement periodicity configured RSSI-PeriodicityAndOffset, and TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2:M=1 if higher layer parameter timeRestrictionForChannelMeasurement is configured, and M=3 otherwise.",
