Scenario,"CSSFoutside_gap,i for FR1 PCC","CSSFoutside_gap,i for FR1 SCC","CSSFoutside_gap,i for FR1 PSCC","CSSFoutside_gap,i for FR2 PSCC","CSSFoutside_gap,i for FR2 SCC where neighbour cell measurement is not required","CSSFoutside_gap,i for inter-frequency MO with no measurement gap"
FR1 + FR2 NR-DC (FR1 PCell and FR2 PSCell) Note 1,1+NPCC_CSIRS,( NSCC_SSB +Y+2xNSCC_CSIRS),N/A,(1+ NPSCC_CSIRS) Note 2,(NSCC_SSB +Y+2x NSCC_CSIRS ),(NSCC_SSB +Y+2x NSCC_CSIRS )
FR1 + FR1 NR-DC (FR1 PCell and FR1 PSCell),1+NPCC_CSIRS,( NSCC_SSB +Y+2xNSCC_CSIRS),(1+ NPSCC_CSIRS) Note 2,N/A,N/A,(NSCC_SSB +Y+2x NSCC_CSIRS )
"NOTE 1:NR-DC in Rel-15 only includes the scenarios where all serving cells in MCG in FR1 and all serving cells in SCG in FR2. NOTE 2:CSSFoutside_gap,i =1 if  no SCell is configured and no inter-frequency MO without gap and only SSB based L3 measurement is configured on PSCC; CSSFoutside_gap,i =2 if no SCell is configured and no inter-frequency MO without gap and either both SSB and CSI-RS based L3 configured or only CSI-RS based L3 measurement is configured on PSCC.NOTE 3:Y is the number of configured inter-frequency SSB based frequency layers without MG that are being measured outside of MG; otherwise, it is 0.NOTE 4:NPCC_CSIRS=1 if PCC is with either both SSB and CSI-RS based L3 configured or only CSI-RS based L3 measurement configured; otherwise, NPCC_CSIRS =0.NOTE 5:NPSCC_CSIRS=1 if PSCC is with either both SSB and CSI-RS based L3 configured or only CSI-RS based L3 measurement configured; otherwise, NPSCC_CSIRS =0.NOTE 6:NSCC_CSIRS=Number of configured SCell(s) with either both SSB and CSI-RS based L3 measurement configured or only CSI-RS based L3 measurement configuredNOTE 8:NSCC_SSB=Number of configured SCell(s) with only SSB based L3 measurement configured, which is measured without MG.",,,,,,
