DRX cycle,TSSB_time_index_intra
No DRX,ceil(3 x Kgap ) x measCycleSCell x CSSFintra
DRX cycle≤ 320ms,"Ceil(3 x Kgap) x max(measCycleSCell, M2Note 1x DRX cycle) x CSSFintra"
DRX cycle>320ms,"Ceil(3 x Kgap )x max(measCycleSCell, DRX cycle) x CSSFintra"
NOTE 1:M2 = 1.5 if SMTC periodicity > 40 ms; otherwise M2=1,
