Condition NOTE1,TSSB_measurement_period_inter_RedCap
No DRX,"Max(400 ms, Mmeas_period_inter_RedCap  Max(MGRP, SMTC period))  CSSFinter_RedCap"
DRX cycle ≤ 320 ms,"Max(400 ms, (1.5  Mmeas_period_inter_RedCap)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter_RedCap"
DRX cycle > 320 ms,Mmeas_period_inter_RedCap  DRX cycle  CSSFinter_RedCap
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1,
