DRX cycle,TSSB_measurement_period_inter_RedCap
No DRX,"max(400 ms, ceil(Mmeas_period_inter_RedCap x Kp x Klayer1_measurement) x SMTC period)Note 1 x CSSFinter_RedCap"
DRX cycle≤ 320 ms,"max(400 ms, ceil(1.5x Mmeas_period_inter_RedCap x Kp x Klayer1_measurement) x max(SMTC period,DRX cycle)) x CSSFinter_RedCap"
DRX cycle>320 ms,ceil(Mmeas_period_inter_RedCap xKp x Klayer1_measurement) x DRX cycle x CSSFinter_RedCap
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identified",
