DRX cycle length (s),"Tmeasure, E-UTRAN FDD (s) (DRX cycles)"
≤ 0.08,[Non-DRX requirements in clause 9.4.8.3.2 apply]
0.08 < DRX-cycle ≤ 10.24,Note1 (5*CSSFinterRAT*Kp)
NOTE 1:The time depends on the DRX cycle length.NOTE 2:CSSFinterRAT is as defined in clause 9.4.8.3.2.,
