DRX cycle length (s)Note2,Tmeasure_SFTD1 (s)
DRX cycle≤0.04,"max(0.2,5 x SMTC period) (Note1)"
0.04<DRX cycle≤0.32,"8 x max(DRX cycle, SMTC period)"
0.32<DRX cycle≤10.24,5 x DRX cycle
"Note1:Number of DRX cycles depends upon the DRX cycle in useNote2:DRX cycle length in this table refers to the DRX cycle length configured for PCell or E-UTRA PSCell. When DRX is used in both PCell and E-UTRA PSCell, DRX cycle length in this table refers to the longer of the DRX cycle lengths for PCell and E-UTRA PSCell.",
