Condition NOTE,TPSS/SSS_sync_inter
No DRX,"Max(600 ms, ceil(Mpss/sss_sync_inter_CCA+ [NRxBeam] x LPSS/SSS,gaps)) Max(MGRP, SMTC period))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(600 ms, ceil(1.5  Mpss/sss_sync_inter_CCA+ [NRxBeam] x LPSS/SSS,gaps))  Max(MGRP, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,"Ceil(Mpss/sss_sync_inter_CCA+ [NRxBeam] x LPSS/SSS,gaps) DRX cycle  CSSFinter"
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 3: When DRX is not configured, LPSS/SSS,gaps is the number of SMTC occasion groups not available at the UE during TPSS/SSS_sync_inter_CCA for PSS/SSS detection, where LPSS/SSS,gaps < LPSS/SSS,gaps,max. A SMTC occasion group consists of NRxBeam consecutive SMTC occasions. An SMTC occasion group is not available, when at least one SMTC occasion in the group is not transmitted by the gNB. When DRX is configured, LPSS/SSS is the number of [DRX cycle groups] in which at least one SMTC occasion is not available at the UE during TPSS/SSS_sync_inter_CCA for PSS/SSS detection, where LPSS/SSS,gaps < LPSS/SSS,gaps,max . [A DRX occasion group consists of NRxBeam consecutive DRX cycles. A DRX occasion group occasion group is not available, when at least one SMTC occasion in the group is not transmitted by the gNB.] When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle.NOTE 4:LPSS/SSS,gaps,max = 12 for max(DRX cycle, SMTC period, MGRP) ≤ 40 ms LPSS/SSS,gaps = 8 for 40 ms < max(DRX cycle, SMTC period, MGRP) ≤ 320 ms, and LPSS/SSS,gaps = 5 for DRX cycle > 320 ms",
