Configuration,TL1-RSRP_Measurement_Period_SSB_inter_withoutGap (ms)
non-DRX,"max(TReport, ceil(M*P)*TSSB_NBC)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(K *M*P)*max(TDRX,TSSB_NBC))"
DRX cycle > 320 ms,ceil(M*P)*TDRX
"NOTE 1:TSSB_NBC is the periodicity of the neighbor cell SSB-Index configured for inter-frequency L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2:K = 1.5NOTE 3:The requirements apply for the cells configured by LTM-CSI-ResourceConfig-r18 on which UE is required to perform L1 measurements, when the max RTD between the serving cell and the inter-frequency cell whose SSB are completely contained in the DL active BWP is not larger than CP length",
