DRX cycle length (s) Note 3,Tmeasure_SFTD1 (s)
≤0.04,"max(0.2, 5 x SMTC period) (Note 2)"
0.04<DRX cycle≤0.32,"8 x max(DRX cycle, SMTC period)"
0.32<DRX cycle≤10.24,5 x DRX cycle
"NOTE 1:SMTC period in this table refers to the maximum between the configured SMTC period in PCell and PSCell. NOTE 2:VoidNOTE 3:DRX cycle length in this table refers to the DRX cycle length configured for PCell or PSCell. When DRX is used in both PCell and PSCell, DRX cycle length in this table refers to the longer of the DRX cycle lengths for PCell and PSCell.",
