Configuration,TL1-SINR_Measurement_Period_CSI-RS_CMR_IMR (ms)
non-DRX,"max(TReport, ceil((M+L1)*P)*max(TCSI-RS, Tproc))"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*(M+L1)*P)*max(TDRX,TCSI-RS, Tproc))"
DRX cycle > 320 ms,ceil((M+L1)*P)*TDRX
"NOTE 1:TCSI-RS is the periodicity of CSI-RS configured for L1-SINR measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2:the requirements are applicable provided that the CSI-RS resource configured for L1-SINR measurement is transmitted with Density = 3.NOTE 3:The requirements are applicable provided that the CSI-RS resource configured for interference measurement shall be 1-to-1 mapped to CSI-RS configured for channel measurement, with the same periodicity.NOTE 4:If UE indicates ‘full’ or ‘partial’ for timeline-r19 in sbfd-Aware-r19 and the CSI-RS resource for CMR or IMR is across 2 DL subbands, Tproc = 8ms; otherwise Tproc = 0.",
