DRX cycle,TSSB_measurement_period_intra
No DRX,ceil( 5 x Kp) x measCycleSCell x CSSFintra
DRX cycle≤ 160 ms,"ceil(5 x Kp) x max(measCycleSCell, M2 Note 1 x DRX cycle) x CSSFintra"
160 ms < DRX cycle≤ 320 ms,"ceil(4 x Kp) x max(measCycleSCell, M2 Note 1 x DRX cycle)"
DRX cycle>320 ms,"ceil( Y Note 2 x Kp ) x max(measCycleSCell, DRX cycle) x CSSFintra"
"NOTE 1:M2 = 1.5 if SMTC periodicity > 40 ms, otherwise M2=1NOTE 2:Y=3 when SMTC <= 40 ms, Y=5 when SMTC > 40 ms",
