Configuration,TL1-SINR_Measurement_Period_CSI-RS_CMR_IMR_ATG (ms)
non-DRX,"max(TReport, ceil(M*P)*TCSI-RS)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*M*P)*max(TDRX,TCSI-RS))"
DRX cycle > 320 ms,ceil(M*P)*TDRX
"NOTE 1:TCSI-RS is the periodicity of CSI-RS configured for L1-SINR measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2:the requirements are applicable provided that the CSI-RS resource configured for L1-SINR measurement is transmitted with Density = 3.NOTE 3:The requirements are applicable provided that the CSI-RS resource configured for interference measurement shall be 1-to-1 mapped to CSI-RS configured for channel measurement, with the same periodicity.",
