DRX cycle,T CSI-RS_measurement_period_intra
No DRX,"max(200 ms, ceil( 5 x Kp_CSI-RS x N1Note 3 x Klayer1_measurement ) x CSI-RS period)  x CSSFintra"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x 5 x Kp_CSI-RS x N1Note 3 x Klayer1_measurement ) x max(CSI-RS period, DRX cycle))  x CSSFintra"
DRX cycle>320 ms,ceil( 5 x Kp_CSI-RS x N1Note 3 x Klayer1_measurement ) x DRX cycle x CSSFintra
"NOTE 1:The requirements apply assuming CSI-RS configuration with {D=3 with PRBs ≥ 48}. D is frequency domain density for the 1-port CSI-RS for L3 mobility defined in clause 7.4.1 of TS 38.211 [6].NOTE 2:Kp_CSI-RS is applicable for a UE supporting concurrent gapsNOTE 3:For ATG UE capable of antennaArrayType-r18, N1 = 3 when network assistance on ATG cells reference locations is provided, otherwise N1 = 4.Otherwise, N1 = 1.NOTE 4:For ATG UE capable of antennaArrayType-r18, for the SCC measurement, N1=1 when the network indication neighSCellMeasSkipping is set to ‘enable’ to UE and inter-band carrier aggregation within FR1 is configured and UE not capable of antennaArrayType-r18 on the other serving carrier or UE support two simultaneous separate Rx beams, or when the network indication neighSCellMeasSkipping is set to ‘enable’ to UE and SMTC occasion for PCC and SCC are not overlapped in the time domain and intra-band carrier aggregation within FR1 is configured or inter-band carrier aggregation within FR1 is configured and UE support one common Rx beam. Otherwise, N1 = 3 when network assistance information on ATG cells reference locations is provided, N1 = 4 when network assistance information on ATG cells reference locations is not provided.",
