Configuration,Measurement bandwidth (RB),Number of UL/DL sub-frames per half frame (5 ms),,DwPTS,,"TMeasure, E-UTRAN TDD (ms)"
,,DL,UL,Normal CP,Extended CP,
0,6,2,2,,,[480 x CSSFinterRAT x Kp]
1 (Note 1),50,2,2,,,[240 x CSSFinterRAT x Kp]
2,6,1,3,,,[720 x CSSFinterRAT x Kp]
3 (Note 1),50,1,3,,,[480 x CSSFinterRAT x Kp]
NOTE 1:This configuration is optional.NOTE 2:Void,,,,,,
