Configuration,TL1-RSRP_Measurement_Period_SSB_intra (ms)
non-DRX,"max(TReport, ceil(M*P*PL1_sharing*N)*TSSB_NBC)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*M*P*PL1_sharing *N)*max(TDRX,TSSB_NBC) )"
DRX cycle > 320 ms,ceil(1.5*M*P*PL1_sharing*N)*TDRX
"NOTE 1:TSSB_NBC is the periodicity of the neighbor cell SSB-Index configured for intra-frequency L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2: The requirements apply when the max RTD between the serving cell and any candidate cell on which UE is required to perform L1-RSRP measurement on the same frequency layer is not larger than CP length of the cell on the frequency layer.NOTE:When the number of neighbor cells to be measured on intra-frequency and inter-frequency without gap is more than 1 and TCI state(s) of at least one of these neighbor cells is in the active TCI state list, the requirements apply only to the cell(s) that have TCI state(s) is in the active TCI state list.",
