DRX cycle,TSSB_time_index_intra_less_than_5Mhz
No DRX,"max(120 ms, 7 x max(MGRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"max(120ms, ceil(M2 x 7) x max(MGRP, SMTC period,DRX cycle) x CSSFintra)"
DRX cycle>320 ms,"7 x max(MGRP, DRX cycle) x CSSFintra"
"NOTE 1: VoidNOTE 2:When highSpeedMeasFlag-r16 is not configured, M2 = 1.5; When highSpeedMeasFlag-r16 is configured, M2 = 1.5 if SMTC periodicity > 40 ms, otherwise M2=1.NOTE 3:When highSpeedMeasFlag-r16 is configured, the requirements apply only to UE supporting either measurementEnhancement-r16 or intraNR-MeasurementEnhancement-r16.NOTE 4:When highSpeedMeasCA-Scell-r17 is configured, the requirements apply to UE on measurements of secondary component carrier with active SCell.",
