DRX cycle,TSSB_measurement_period_intra
No DRX,"max(200 ms, ceil(5 x Kgap x N1 Note 1)x max(MGRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"Max(200 ms, ceil(1.5x 5 x Kgap x N1 Note 1) x max(MGRP, SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,"Ceil(5 x Kgap x N1 Note 1) x max(MGRP, DRX cycle) x CSSFintra"
"NOTE 1:For ATG UE capable of antennaArrayType-r18, N1 = 3 when network assistance on ATG cells reference locations is provided, otherwise N1 = 4.Otherwise, N1 = 1.",
