Measurement category,Ecat,Note
Intra-frequency Note 1,9,"Events for any one or a combination of intra-frequency SS-RSRP, SS-RSRQ, and SS-SINR for NG-RAN intra-frequency cells"
Inter-frequency Note 1,10,"Events for any one or a combination of inter-frequency SS-RSRP, SS-RSRQ, and SS-SINRfor NG-RAN inter-frequency cells"
"Inter-RAT (E-UTRA FDD, E-UTRA TDD) Note 1",10,Only applicable for UE with this (inter-RAT) capability. These reporting criteria apply for any E-UTRA carrier frequencies.
NOTE 1:Applicable for UE configured with SA NR operation mode.,,
