Configuration,Measurement bandwidth (RB),Number of UL/DL sub-frames per half frame (5 ms),,DwPTS,,"TMeasure_RedCap, E-UTRAN TDD (ms)"
,,DL,UL,Normal CP,Extended CP,
0,6,2,2,,,960 x CSSFinterRAT_RedCap
1 (Note 1),50,2,2,,,480 x CSSFinterRAT_RedCap
2,6,1,3,,,1440 x CSSFinterRAT_RedCap
3 (Note 1),50,1,3,,,960 x CSSFinterRAT_RedCap
NOTE 1:This configuration is optional.,,,,,,
