Condition NOTE1,TSSB_time_index_inter_RedCap
No DRX,"Max(200 ms, MSSB_index_inter_RedCap  Max(MGRP, SMTC period))  CSSFinter_RedCap"
DRX cycle ≤ 320 ms,"Max(200 ms, (1.5  MSSB_index_inter_RedCap)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter_RedCap"
DRX cycle > 320 ms,MSSB_index_inter_RedCap  DRX cycle  CSSFinter_RedCap
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1,
