Condition,TSSB_measurement_period_intra_CCA
No DRX,"max(200 ms, ceil((5+Lmeas)  x Kp) x SMTC period)Note 1 x CSSFintra"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x (5+Lmeas)  x Kp) x max(SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,ceil((5+Lmeas)  x Kp ) x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:When DRX is not configured, Lmeas is the number of SMTC occasions not available at the UE during T SSB_measurement_period_intra_CCA for measurement, where Lmeas <Lmeas,max. When DRX is configured, Lmeas is the number of DRX cycles in which at least one SMTC occasion is not available at the UE during TSSB_measurement_period_intra_CCA for measurement, where Lmeas <Lmeas,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. FFS: The UE is not required to determine the availability of SMTC occasions more frequent than what is required by CSSFintra.NOTE 3:Lmeas,max = 7 for Max(DRX cycle,SMTC period)≤40 ms where DRX cycle is 0 for non-DRX, Lmeas,max = 5 for 40 ms<Max(DRX cycle,SMTC period)≤320 ms, Lmeas,max = 3 for DRX cycle>320 ms.NOTE 4:Upon exceeding Lmeas,max over the period of time T SSB_measurement_period_intra_CCA, the UE has to restart the measurement procedure.",
