Configuration,TL1-RSRP_Measurement_Period_SSB_inter_withoutGap (ms)
non-DRX,"max(TReport, ceil(M*P*PL1_sharing*N)*TSSB_NBC)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*M*P*PL1_sharing *N)*max(TDRX,TSSB_NBC) )"
DRX cycle > 320 ms,ceil(1.5*M*P*PL1_sharing*N)*TDRX
"NOTE 1:TSSB_NBC is the periodicity of the neighbor cell SSB-Index configured for intra-frequency L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting. NOTE 2: The requirements apply for the cells configured by LTM-CSI-ResourceConfig-r18 on which UE is required to perform L1 measurements, when the max RTD between the serving cell and the inter-frequency cell whose SSB are completely contained in the DL active BWP is not larger than CP length NOTE 3:When the number of neighbor cells to be measured on intra-frequency and inter-frequency without gap is more than 1 and TCI state(s) of at least one of the neighbor cells is in the LTM candidate cell active TCI state list, the requirements only apply to intra-frequency cells and inter-frequency neighbor cells without gap whose TCI state(s) are in the LTM candidate cell active TCI state list.]",
