"Condition NOTE1,2",TSSB_time_index_inter
No DRX,"Max(200 ms, Ceil(Kgap  , M1Note 3)  Max(MGRP, SMTC period))  CSSFinter"
DRX cycle≤ 80 ms,"Max(200 ms, Ceil(1.5 * Kgap  M1Note 3)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter"
80 ms< DRX cycle≤ 320 ms,"Max(200 ms, Ceil(1.5 * Kgap  MSSB_index_inter)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,Ceil(Kgap MSSB_index_inter)  DRX cycle  CSSFinter
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:For a UE supporting concurrent GAPs, the MGRP above is the MGRP of the activated Pre-MG or the measurement gap associated with the target frequency layer to be measured if concurrent GAPs are configured.NOTE 3:For UE supporting power class 6 and measEnhCAInterFreqFR2-r18, M1 = 6 if highSpeedMeasFlagFR2-r17 = set1 or M1 = 18 if highSpeedMeasFlagFR2-r17 = set2",
