"Condition NOTE1,2",T RSSI_measurement_period_intra_cca
No DRX,"max(reportInterval, Nintra-MO*rmtc-Periodicity)"
DRX,"max(reportInterval, Nintra-MO*max(rmtc-Periodicity, DRXcycle length))"
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:Nintra-MO is defined as the number of measurement objects that can be measured without gaps,
