Condition NOTE1,TSSB_measurement_period_inter_RedCap
No DRX,"Max(400 ms, 8  Max(MGRP, SMTC period))  CSSFinter_RedCap"
DRX cycle ≤ 320 ms,"Max(400 ms, ceil(1.5  8)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter_RedCap"
DRX cycle > 320 ms,8  DRX cycle  CSSFinter_RedCap
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1,
