DRX cycle,TPSS/SSS_sync_intra
No DRX,Ceil(Mpss/sss_sync_w/o_gaps x Kp) x measCycleSCell x CSSFintra
DRX cycle≤ 320 ms,"Ceil(Mpss/sss_sync_w/o_gaps x Kp) x max(measCycleSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle> 320 ms,"Ceil(Mpss/sss_sync_w/o_gaps x Kp) x max(measCycleSCell, DRX cycle) x CSSFintra"
NOTE 1:The requirements also apply to CC with deactivated SCell in SCG.,
