DRX cycle,TSSB_time_index_intra_less_than_5MHz
No DRX,Ceil(7 x Kp) x measCycleSCell x CSSFintra
DRX cycle≤ 320ms,"Ceil(7 x Kp) x max(measCycleSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle> 320ms,"Ceil(7 x Kp) x max(measCycleSCell, DRX cycle) x CSSFintra"
NOTE 1:The requirements also apply to deactivated SCG SCell.,
