DRX cycle,TPSS/SSS_sync_intra
No DRX,"max(600 ms, ceil(Mpss/sss_sync_w/o_gaps x KFR x Kp x Klayer1_measurement)  x SMTC period)Note 1 x CSSFintra"
DRX cycle≤ 320 ms,"max(600 ms, ceil(1.5 x Mpss/sss_sync_w/o_gaps x KFR x Kp x Klayer1_measurement) x max(SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,ceil(Mpss/sss_sync_w/o_gaps x KFR x Kp x Klayer1_measurement)  x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2: KFR is a scaling factor depending on the frequency range and the SSB SCS. For FR2-1, KFR = 1. For FR2-2: KFR = 1 if the SCS of the SSB of the cell being detected is 120 kHz, KFR = 2 if the SCS of the SSB of the cell being detected is 480 kHz, and KFR = 3 if the SCS of the SSB of the cell being detected is 960 kHz.",
