Condition NOTE1,TPSS/SSS_sync_inter_RedCap
No DRX,"Max(600 ms, 10  Max(MGRP, SMTC period))  CSSFinter_RedCap"
DRX cycle ≤ 320 ms,"Max(600 ms, Ceil(10 *1.5)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter_RedCap"
DRX cycle > 320 ms,10  DRX cycle  CSSFinter_RedCap
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1,
