"Condition NOTE1,2",T RSSI_measurement_period_intra_cca
No DRX,"max(reportInterval, rmtc-Periodicity*CSSFoutside_gap,i)"
DRX,"max(reportInterval, max(rmtc-Periodicity, DRX cycle) *CSSFoutside_gap,i)"
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:CSSFoutside_gap, i is a carrier specific scaling factor and is determined according to CSSF outside_gap,i in clause 9.1.5.1 for measurement conducted outside measurement gap.",
