DRX cycle,T SSB_measurement_period_intra
No DRX,"max(200 ms, ceil((5+Lcancel) x Kgap) x max(MGRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x (5+Lcancel) x Kgap) x max(MGRP, SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,"Ceil(5+Lcancel) x Kgap x max(MGRP, DRX cycle) x CSSFintra"
"NOTE 1:For a UE supporting concurrent GAPs, if multiple concurrent GAPs are configured, the MGRP is the periodicity of the activated Pre-MG or the MG pattern associated to the intra-frequency layer.NOTE 2:Lcancel is the number of cancelled gap occasions overlapping with SMTC in the measurement period. When DRX is configured, Lcancel is the number of DRX cycles in which at least one measurement gap occasion overlapping with SMTC is cancelled during T SSB_measurement_period_intra.",
