Configuration,TL1-RSRP_Measurement_Period_SSB_CDP (ms)
non-DRX,"max(TReport, ceil(M*P)*TSSB_CDP)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(K *M*P)*max(TDRX,TSSB_CDP))"
DRX cycle > 320 ms,ceil(M*P)*TDRX
NOTE 1:TSSB_CDP is the periodicity of the SSB-Index configured for inter-cell L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2:K = 1.5.,
