DRX cycle,T CSI-RS_measurement_period_intra
No DRX,"max(200 ms, ceil( 5 x Kp_CSI-RS) x CSI-RS period)  x CSSFintra"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x 5 x Kp_CSI-RS) x max(CSI-RS period, DRX cycle))  x CSSFintra"
DRX cycle>320 ms,ceil( 5 x Kp_CSI-RS) x DRX cycle x CSSFintra
NOTE 1:The requirements apply assuming CSI-RS configuration with {D=3 with PRBs ≥ 48}. D is frequency domain density for the 1-port CSI-RS for L3 mobility defined in clause 7.4.1 of TS 38.211 [6].,
