"Condition NOTE1,2",TSSB_measurement_period_inter
No DRX,"Max(400 ms, Ceil(Kgap  Mmeas_period_inter)  Max(MGRP, measCyclePSCell))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(400 ms, Ceil(1.5 * Kgap  Mmeas_period_inter)  Max(MGRP, measCyclePSCell, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,"Ceil(Kgap  Mmeas_period_inter)  Max(measCyclePSCell, DRX cycle)  CSSFinter"
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1.NOTE 2:In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3:For a UE supporting concurrent measurement GAPs, the MGRP above is the MGRP of the activated Pre-MG or the measurement gap associated with the target frequency layer to be measured if concurrent GAPs are configured.",
