DRX cycle,TSSB_measurement_period_intra
No DRX,Ceil(5 x Kp) x measCyclePSCell x CSSFintra
DRX cycle≤ 320 ms,"Ceil(5 x Kp) x max(measCyclePSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle> 320 ms,"Ceil(5 x Kp) x max(measCyclePSCell, DRX cycle) x CSSFintra"
