Gap CombinationConfiguration Id,The number of simultaneous configured measurement gap patterns,,
,Per-FR1 measurement gap/NCSG,Per-FR2 measurement gap/NCSG,Per-UE measurement gap/NCSG
0,2,1,0
1,1,2,0
2,0,0,2
3Note 1,1,0,1
4Note 1,0,1,1
5Note 1,1,1,1
6,2,0,0
7,0,2,0
"Note 1:Gap Combination Configuration Id #3, #4, #5 will be only applied when the per-UE measurement gap (and cannot be NCSG) is associated to measure PRS for any RSTD, PRS-RSRP, RSCP, RSCPD, UE Rx-Tx time difference and PRS-RSRPP measurement defined in TS 38.215 [4], and when the per-FR measurement gap in an FR is NCSG.Note 2:In Gap Combination Configuration Id #0, #1, #6, #7, one per-FR measurement gap in an FR (and cannot be NCSG) can be associated to measure PRS for any RSTD, PRS-RSRP, RSCP, RSCPD, UE Rx-Tx time difference and PRS-RSRPP measurement defined in TS 38.215 [4] provided that UE supports independentGapConfigPRS-r17.Note 3:In Gap Combination Configuration Id #0, #1, #2, #6, #7, one FR can be configured with up to 2 NCSGs, regardless they are per-UE or per-FR configured. Otherwise, the gaps can only be configured as Gap(s) configured via GapConfig without suffix or Gap(s) configured via GapConfig-r17 without ncsgInd-r17.",,,
