DRX cycle,TPSS/SSS_sync_inter
No DRX,"max(600 ms, ceil(Mpss/sss_sync_inter  x Klayer1_measurement)  x max(80 ms, SMTC period))Note 1 x CSSFinter"
DRX cycle≤ 320 ms,"max(600ms, ceil(1.5 x Mpss/sss_sync_inter  x Klayer1_measurement) x max(80ms, SMTC period, DRX cycle)) x CSSFinter"
DRX cycle>320 ms,ceil(Mpss/sss_sync_inter  x Klayer1_measurement)  x DRX cycle x CSSFinter
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:Void",
