DRX cycle,TPSS/SSS_sync_intra_CCA
No DRX,"Ceil((Mpss/sss_sync_w/o_gaps x KFR + N x LPSS/SSS,deact) x Kp) x measCycleSCell x CSSFintra"
DRX cycle≤ 320 ms,"Ceil((Mpss/sss_sync_w/o_gaps x KFR + N x LPSS/SSS,deact) x Kp) x max(measCycleSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle> 320 ms,"Ceil((Mpss/sss_sync_w/o_gaps x KFR + N x LPSS/SSS,deact) x Kp) x max(measCycleSCell, DRX cycle) x CSSFintra"
"NOTE 1:When DRX is not configured, LPSS/SSS, deact is the number of SMTC occasions groups not available at the UE during TPSS/SSS_sync_intra_CCA for PSS/SSS detection, where LPSS/SSS, deact< LPSS/SSS, deact,max. A SMTC occasion group consists of N consecutive SMTC occasions. An SMTC occasion group is not available, when at least one SMTC occasion in the group is not transmitted by the gNB. When DRX is configured, LPSS/SSS, deact is the number of [DRX cycle groups] in which at least one SMTC occasion is not available at the UE during TPSS/SSS_sync_intra_CCA for PSS/SSS detection, where LPSS/SSS, deact< LPSS/SSS, deact,max.When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. [A DRX occasion group consists of N consecutive DRX cycles. A DRX occasion group occasion group is not available, when at least one SMTC occasion in the group is not transmitted by the gNB.] When configured with measurement cycles, the UE is not required to determine the availability of SMTC occasions more frequent than once per measurement cycle. NOTE 2:LPSS/SSS, deact,max, = [7] for Max(DRX cycle, measCycleSCell)≤40 ms where DRX cycle is 0 for non-DRX, LPSS/SSS, deact,max = [5] for 40 ms<Max(DRX cycle, measCycleSCell)≤320 ms, LPSS/SSS, deact,max = [3] for DRX cycle>320 ms.NOTE 3:Upon exceeding LPSS/SSS, deact,max,, the UE is not required to meet the requirements for PSS/SSS detection.NOTE 4:VoidNOTE 5:KFR is a scaling factor depending on the frequency range and SSB SCS. KFR = 1 if the SCS of the SSB of the cell being detected is 120 kHz, KFR = 2 if the SCS of the SSB of the cell being detected is 480 kHz, and KFR= 3 if the SCS of the SSB of the cell being detected is 960 kHz.",
