Condition,TSSB_measurement_period_intra_CCA
No DRX,"(5+Lmeas,deact)  x measCycleSCell x CSSFintra"
DRX cycle≤ 320 ms,"(5+Lmeas, deact)  x max(measCycleSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle>320 ms,"(5+Lmeas, deact)  x max(measCycleSCell, DRX cycle) x CSSFintra"
"NOTE 1:When DRX is not configured, Lmeas,deact is the number of SMTC occasions not available at the UE during TSSB_measurement_period_intra_CCA for measurement, where Lmeas,deact <Lmeas, ,deact ,max. When DRX is configured, Lmeas,deact is the number of DRX cycles in which at least one SMTC occasion is not available at the UE during TSSB_measurement_period_intra_CCA for measurement, where Lmeas,deact <Lmeas, ,deact ,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement cycles, the UE is not required to determine the availability of SMTC occasions more frequent than once per measurement cycle. FFS: The UE is not required to determine the availability of SMTC occasions more frequent than what is required by CSSFintra.NOTE 2:Lmeas, ,deact ,max, = 7 for non-DRX, Lmeas, ,deact ,max = 5 for 40ms<Max(DRX cycle, measCycleSCell)≤320ms, Lmeas, ,deact ,max = 3 for Max(DRX cycle, measCycleSCell)>320ms.NOTE 3:Upon exceeding Lmeas,deact,max over the period of time TSSB_measurement_period_intra_CCA, the UE has to restart the  measurement procedure.",
