DRX cycle,TSSB_time_index_intra
No DRX,"max(120 ms, ceil((3+Lcancel) x Kgap) x max(MGRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"max(120 ms, ceil(1.5 x (3+Lcancel) x Kgap) x max(MGRP, SMTC period,DRX cycle) x CSSFintra)"
DRX cycle>320 ms,"Ceil(3+Lcancel) x Kgap x max(MGRP, DRX cycle) x CSSFintra"
"NOTE 1:For a UE supporting concurrent GAPs, if multiple concurrent GAPs are configured, the MGRP is the periodicity of the MG pattern associated to the intra-frequency layer.NOTE 2: Lcancel is the number of cancelled gap occasions overlapping with SMTC in TSSB_time_index_intra. When DRX is configured, Lcancel is the number of DRX cycles in which at least one measurement gap occasion overlapping with SMTC is cancelled during TSSB_time_index_intra.",
