"Condition NOTE1,2",T CSI-RS_measurement_period_inter
No DRX,"Max(400 ms, ceil( Mmeas_period_inter  Kp_CSI-RS ) Max(MGRP, CSI-RS period))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(400 ms, ceil(1.5  Mmeas_period_inter Kp_CSI-RS)  Max(MGRP, CSI-RS period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,Ceil(Mmeas_period_inter  Kp_CSI-RS ) DRX cycle  CSSFinter
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3:If UE support concurrent gaps and multiple concurrent gaps are configured, the MGRP is the periodicity of the MG pattern associated to the CSI-RS resources of the inter-frequency layer.NOTE 4:Kp_CSI-RS is applicable for a UE supporting concurrent gaps and/or MUSIM gaps.",
