DRX cycle length (s),"Tmeasure_RedCap, E-UTRAN FDD (s) (DRX cycles)"
≤0.08,Non-DRX requirements in clause 9.4A.2.2 apply
0.08 < DRX-cycle ≤ 10.24,Note1 (10* CSSFinterRAT_RedCap)
NOTE 1:The time depends on the DRX cycle length.NOTE 2:CSSFinterRAT_RedCap is as defined in clause 9.4A.2.2.,
