DRX cycle,T SSB_measurement_period_intra
No DRX,"max(200 ms, 5 x KNCSG x max(VIRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x 5 x KNCSG) x max(VIRP, SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,"5 x KNCSG x max(VIRP, DRX cycle) x CSSFintra"
