Configuration,"Physical Layer Measurement period: TMeasure, E-UTRAN FDD [ms]",Measurement bandwidth [RB]
0,480 x [CSSFinterRAT x Ceil(Kgap_EUTRA)],6
1 (Note 1),240 x [CSSFinterRAT x Ceil(Kgap_EUTRA)],50
NOTE 1:This configuration is optional.NOTE 2:Kgap_EUTRA is only applicable for a UE supporting concurrent measurement gaps. Otherwise Kgap_EUTRA =1,,
